"Id","Region","River Name","Section","Class","Class (decimal)","Length","Gradient","Time","Put in","Take out","Body"
"https://rivers.org.nz/motutua_rapids","Bay of Plenty","Rangitaiki","Motutua Rapids","IV","4","","","","","","<p>The river starts with a narrow but fairly easy rapid under the bridge and opens out for a km or 2. The river is wide, shallow and swift over a shelf-like bedrock bottom but starts to steepen and narrow as it goes over a couple of smallish drops. It stays pretty narrow after this (portaging and inspection is difficult and sometimes painful due to the dense vegetation and the gorge - however, inspection is pretty important in places).<br />Just after the last rapid I described, there was a logjam which we had to portage. Not too difficult. Not far below this, the river went into a very narrow channel (2m wide) which lasted about 200-300m. The rapid was relatively easy - maybe grade 3, but committing and with logjam potential - inspectable. Below here, there may have been another narrow rapid before widening briefly. Following this was another very long, narrow, fast hydroslide style rapid which, due to high banks and dense vegetation was not really portageable or scoutable - we took a risk and paddled it blind. As it happened, there were no logjams and it was a nice long narrow grade 3+ rollercoaster (perhaps 4 because of degree of commitment) rapid. After this, the river slowed behind the intake dam which is the get out. There is a risk of logjams anywhere on this section of river, and in places, they could be very hard to avoid. It is a unique and fun section.<br />Map series 260 (1:50,000) Map No V18. Get in is on Ngapuketurua Rd Bridge and get out is at the Rangitaikie canal intake. Turn off Ngapuketurua Rd left into Kiorenui Rd and then left again when you hit the canal to get to the take out.</p>"
"https://rivers.org.nz/nz/canterbury/rangitata/rangitata-gorge","Canterbury","Rangitata","Rangitata Gorge","IV-IV+","4.1","10km","3.5m/km","1.5-3 hours","Down track to river where road first returns to the river (Whiterock Station)","River right just above the Klondyke intake","<p>The Rangitata Gorge has a long history as a Canterbury test piece. Like most NZ rivers things have changed over the years and the legendary hydraulics that used to devour fibreglass and UCCC paddlers more eagerly than a kid with a McDonald burger have changed, gone or been replaced. Higher skill levels and better kayak designs now make the Gorge a fun outing and attainable for strong intermediates.</p><p>Like many Canterbury rivers the upper section meanders in braids as the river twists its way out of the Alps towards the sea. If there"
"https://rivers.org.nz/node/545","Canterbury","Rangitata","Lower Rangitata","II","2","16km","","4 hours","Waikari Hills Station, or the take-out for the Rangitata gorge ie across the river from the Rangitata Diversion Race Intake.","Lynn Stream","<p>Alternate put-in is Irrigation intake at Klondyke but this makes for a long shuttle unless you are continuing to Arundel bridge. Alternate take-out is the Outdoor Pursuit Centre at Peel Forest.</p>"
"https://rivers.org.nz/nz/canterbury/rangitata/lynn-stream-to-arundel-bridge","Canterbury","Rangitata","Lynn Stream to Arundel Bridge","II","2","","","","","","Used by multisporters. A long trip from Klondyke."
"https://rivers.org.nz/nz/wanganui/rangitikei/matawhero-bridge-to-river-valley-lodge","Wanganui","Rangit","Matawhero Bridge to River Valley Lodge","IV","4","10km","11m/km","2-4 hours","off Matawhero Road where it joins the river","River Valley Lodge","<p>If there was one single river with every ingredient for the evolutionary recipe of trip into epic into story into legend, it is the Rangitikei or 'day of striding out'. Take one reasonably accessible yet wild river flowing through a spectacular, deep gorge. Add several challenging drops and one extremely cool play hole. Attach a large catchment that causes the river to rise and fall dramatically in short periods of time. Put a lodge, hot showers, a big open fireplace and a bar at the take-out. Job's on.</p><p>The Rangitikei is a classic that has been paddled for years by scores of kayakers, though its early paddling history was filled with the carnage of fibreglass boats. The first explorer to the gorge was Cliff Barnett who, in 1953, attempted the run in an open canoe. It wasn't until the early 1960s that two men from Palmerston North entered the gorge in a home-made, stainless steel canoe. It took them two seasons to get right through! The first complete kayak descent was in May 1974 by Max Grant (of 'Max's Drop'), Peter Sutcliffe and Dennis Oppatt.</p><p>The first six kilometres on the river is an excellent class III warm up for the harder stuff to follow. Pop Up is a fun little play spot guaranteed for loops and cartwheels. The first real water is a short drop, called Storm, which runs through a small gorge and into a wall at the bottom. This is followed by more easy water through the very obvious Narrows to the Lunch Spot, named because it is in fact a lunch spot, not a rapid.</p><p>Technical and bony in low flows, still technical and pushy in high flows, the gorge rapids proper follow in quick succession. New Rapid is constantly changing and is well worth scouting because it hides a couple of nasty pin spots. Then come The Gates, Slip Rapid, Max's Drop, Dog Leg, Fulcrum, Etc, Foamy, Foo Fang Falls, See Thru, Picket, Rodeo, Rockslide, Waimarino, Cascade Creek, Toi Toi Creek and Slalom Rapid right outside the Lodge. Of these Fulcrum and Foamy offer the crux of the paddling. There is a compulsory test at the end of the run to check if you have all the names right and in the right order!</p><p>If it's your first time down you'll probably want to scout some rapids as the line is not always obvious. More experienced paddlers should be able to boat-scout everything. Check in with Brian and Nicola Megaw at River Valley Lodge before you go on the river. They have been running the Lodge and rafting the river since 1986 and are tuned into changes of rocks, trees and water levels in the river. This is not a good run to choose as your first class IV outing! Don't be misled by the average gradient. Most of the drop is in the last 1.5km.</p><p>Above 50cu the rapids become very pushy, and time to correct any mistakes is reduced markedly. The river has been run at very high levels (>50cu) and makes for a great expert trip.</p><p>The Megaws, Sages and River Valley Lodge staff are very hospitable. They will drive a shuttle if arranged in advance. This saves the hour-long return trip to pick up cars when you could be sitting outside the Lodge with a beer or two. The Lodge offers camping, accommodation, golf, food and the all important bar.</p><p>River levels are best obtained on-line at <a href=""http://horizons.govt.nz/"" title=""http://horizons.govt.nz/"">http://horizons.govt.nz/</a> and the conversions are done by the nice folks at River Valley <a href=""http://rivervalley.co.nz"" title=""http://rivervalley.co.nz"">http://rivervalley.co.nz</a> While it isn't updated daily, it changes whenever the flow changes. If not online, call 06 388 1444.</p><p>To get to the take-out: From Taihape follow the signs to River Valley along Wainui Road and Otuarei Road. If coming from the north drive 18.1km from the southern end of the Army Training Camp at Waiouru to a turn-off signposted to Moawhango, Napier and River Valley. Follow this sealed road for 9.5km to another junction, turn left and keep following signs 23km to Pukeokahu and River Valley.</p><p>To get to the put-in: from the entrance of the River Valley farm road drive 13.5km east on the gravel road to a grassy flat where the road meets the river.</p><p>Catchment:<br />Egarr_Comments: ""high quality trip<br />Egarr_Code: 49.02<br />Egarr_Vol: NI<br />Egarr_Page: 50<br />Egarr_Rec: 5<br />Egarr_Scen: 5<br />RUS_Code: 1428</p>"
"https://rivers.org.nz/nz/wanganui/rangitikei/river-valley-lodge-to-tarata","Wanganui","Rangit","River Valley Lodge to Tarata","I-II","1.5","","","","","",""
"https://rivers.org.nz/nz/wanganui/rangitikei/above-matawhero-bridge","Wanganui","Rangit","Above Matawhero Bridge","I","1","","","","","","<p>RUS 1423, class unknown</p>"
"https://rivers.org.nz/nz/wanganui/rangitikei/pukeokahu-to-utiku","Wanganui","Rangit","Pukeokahu to Utiku","I","1","","","","","","<p>RUS 1429</p>"
"https://rivers.org.nz/nz/wanganui/rangitikei/utiku-to-mangaweka","Wanganui","Rangit","Utiku to Mangaweka","II","2","","","2-3 hours","","Mangaweka Camp Ground","<p>RUS 1430, class unknown</p>"
"https://rivers.org.nz/nz/otago/routeburn/swingbridge-to-footbridge","Otago","Routeburn","Swingbridge to Footbridge","IV-V","4.5","4km","22m/km","1-3 hours","Swingbridge at the top carpark on the Routeburn-Kinloch road","Next footbridge down","<p>This short but exciting stretch of the Routeburn descends beside the popular walking track of the same name. It is a smal river, and in normal flows more of a rock crash than a kayaking trip. However the river becomes a viable option when the rain falls.</p><p>The run is tight and technical from the start. After the first kilometre a steep section drops 20m in 500m. Scouting for logs trapped amongst the boulders will be necassary, which detracts a little from the run, but the paddling is fun and the surrounding forest and scenery adds to the trip.</p><p>To get to the take-out; follow the Glenorchy-Routeburn road from the small settlement of Glenorchy. Cross the Dart River and turn right onto the Routeburn-Kinlock road to a parking area and track to Lake Sylvan.</p><p>To get to the put-in; continue up this road to the top carpark and put in by the swingbridge.</p>"
"https://rivers.org.nz/nz/hawkes-bay/ruakituri/papuni-to-puhoro-bridge","Hawke's Bay","Ruakituri","Papuni to Puhoro Bridge","III","3","3km","9m/km","1-3 hours","Papuni Station","Puhoro Bridge","<p>This section can be split in two or done as one depending on the level of challenge required. If you put in at the Papuni (upper) take out then you get an hour or so of road side class III down to Puhoro Bridge and from there to Erepiti Bridge it is class II - III.</p><p>To get to the take out: Head west from the town of Wairoa towards Waikaremoana on SH38 until you get to Frasertown. Turn right and continue until you get to the Ruakituri Valley Rd and Te Reinga Falls. Continue up the Ruakituri Valley Rd to the Papuni Rd turnoff (just before the golf course). Turn into Papuni Rd and after a short while a farm road on the left will take you down to a bridge at Puhoro.</p><p>To get to the put ins: Continue up the valley until you cross a ford and come to Papuni Station</p>"
"https://rivers.org.nz/nz/hawkes-bay/ruakituri/puhoro-bridge-to-erepeti-bridge","Hawke's Bay","Ruakituri","Puhoro Bridge to Erepeti Bridge","II-III","2.5","7km","9m/km","1-3 hours","Puhoro Bridge","Erepiti Bridge","<p>This section can be split in two or done as one depending on the level of challenge required. If you put in at the Papuni (upper) take out then you get an hour or so of road side class III down to Puhoro and from there to Erepiti Bridge it is class II - III.</p><p>To get to the take out: Head west from the town of Wairoa towards Waikaremoana on SHY38 until you get to Frasertown. Turn right and continue until you get to the Ruakituri Valley Rd and Te Reinga Falls. Continue up the Ruakituri Valley Rd to a bridge across the river at Erepiti (just past the golf course and the Papuni Rd turnoff). This is the take out.</p><p>To get to the put-in: head back to the Papuni Rd turnoff and turn into Papuni Rd. After a short while a farm road on the left will take you down to a bridge at Puhoro.</p>"
"https://rivers.org.nz/nz/hawkes-bay/ruakituri/mangatahae-stream-to-papuni","Hawke's Bay","Ruakituri","Mangatahae Stream to Papuni Station","IV","4","5km","14.5m/km","3-5 hours","above Mangatahae Stream","Papuni Station","<p>The Ruakituri is a blend of Mangahao/Rangitikei with good gradient over papa slides and through tight boulder gardens. It flows south east from the mysterious Urewera National Park and meets the Wairoa River just above Te Reinga Falls. The upper section, from Mangatahae Stream to Papuni Station, has been used by Hawke"
"https://rivers.org.nz/nz/wellington/ruamahanga/mt-bruce-to-masterton","Wellington","Ruam","Mt Bruce to Masterton","II","2","","","","","",""
"https://rivers.org.nz/nz/otago/shotover/deep-creek-to-edith-cavell-bridge","Otago","Shotover","Deep Creek to Edith Cavell Bridge","IV","4","12.5km","13.5m/km","3-5 hours","Deep Creek on the Skippers Canyon Rd","Below Oxenbridge Tunnel above Edith Cavell Bridge at Arthur's Point","<p>From the gold rushes of the 1860s to the tourism boom of the 1990s, New Zealand's richest river has been exploited for over a century. Signs of this are apparent along the whole journey.</p><p>The late 1800s saw gold fever hit the Shotover region, or Molyneux as it was then known. Much early river diversion and tunnel digging was done at this time. Legends abound of the hardy souls who toiled through freezing winters waist deep in the frigid water searching for the elusive strike. Temperatures get so cold that in the winter there are some 'seeps' from the walls that have been visited by ice climbing enthusiasts from Queenstown.</p><p>Gold is still being extracted ounce by ounce from the river, but most capital return comes from the surface of the river these days. The Queenstown tourism machine works the river's scenery, whitewater and history mostly through rafting and jet boating. Horse riding, historic sightseeing, parapenting, mountain biking, scenic flights and a plethora of other activities complete the menu for visitors to the region. These bring in far more gold than the river could ever yield.</p><p>The main gorge carves through outcrops of schist, while fine mica gives the river its silty colour. This stuff is gritty, gets through everything and is hard on contact lenses. The water is very cold, even in summer, so it's wise to wear a winter set of gear on this river.</p><p>After waving 'auf wiedersehn', or 'sayonara', to the rafters at the Deep Creek put in, the water is class II for most of the gorge with fun play holes and awesome scenery.</p><p>The action is in the final 1.5km through a section of rapids called The Mother, which doesn't announce itself in any particular way. Watch for a narrowing in the gorge, the disappearing horizon line and a small fin of rock. This is Sharks Fin and it is a shadow of its former appearance due to river changes and the formation of a new rapid just downstream called Miners Revenge. Scouting through The Mother is easiest on the left with an obvious trail used by rafters. The rapids are difficult to differentiate but the rafting promo pamphlets (they must be true!) say they go in order of: Sharks Fin, Miners Revenge, Germans, Anvil, Toilet and Pinball. Then down to the Oxenbridge Tunnel or Mother-in Law.</p><p>The Oxenbridge Tunnel was chiselled, cut and blasted from solid rock by the Oxenbridge brothers in an attempt to redirect the river and expose whatever treasures may have lain in the riverbed. It was an idea that didn't work but paddlers now must contend with the brothers' legacy. Paddle into the black hole in the cliff. If you can't fit, the river is too high! (If this is your first time on the river ask the rafters if they are running the tunnel.) Once inside, aim for the white blob of light and brace on the right. Water boils up from the right wall and tends to push you into the undercut left wall. Keep your boat pointed straight. People have broached in this tunnel and swum out without their boats. Always keep in the back of your mind that the light at the end of the tunnel could be an oncoming train!</p><p>Upon exiting the tunnel you're on the runway to the Cascade, another artificial rapid. The only stipulation on this one is to stay upright. The rocks below water are sharp and will slice you and your gear very nicely.<br />The Mother-in-law option follows the natural bed of the river to the left of the tunnel. It has a sharp drop at the top that pushes hard into rocks downstream. Once clear of this drop it is all over.</p><p>To get to the take out from Queenstown: head to Arthur's Point via Gorge Rd. Immediately before crossing the Edith Cavell bridge turn left onto a gravel road. Follow this for 600m to the bottom of Cascade rapid.</p><p>To get the put in: head back across the bridge. Continue east for a couple of kilometres to the junction signposted: Coronet Peak, Skippers Canyon. Turn left and climb for 4km. Turn left at the next sign to Skippers Canyon. Turn left again onto the gravel road. This road is very rough and windy. Rental cars are not insured on this road--bad luck. After 9.5km of slow driving, allowing rafting vehicles to pass whenever they want, you will arrive at the Deep Creek put in.</p>"
"https://rivers.org.nz/nz/otago/shotover/macleods-to-skippers-bridge","Otago","Shotover","MacLeod's to Skippers Bridge","II+","2.25","7.5km","4m/km","1.5-4 hours","MacLeod's Bluff","Skippers Bridge boat ramp","<p>If it was anywhere else with easy access this class II+ section of the 'Shotty' would be one of the most used runs in the country. As it is, the road adds a little spice to a day in the upper valley. Try to avoid rainy days as the road gets very slippery. Many have been stuck.<br />The great thing about this run are the numerous ledge-type reversals that provide excellent play spots for those wanting to flip-flop around for ever or just learn to sit in a hole. The river is deep in the gorge and has a great wilderness feel until you reach the Skippers Canyon Bridge and are bombarded by falling bungy jumpers.<br />If considering the section from Skippers Bridge to Deep Creek (class I), it is worth contacting the jet boat drivers at the Skippers Bridge. The drivers are in radio contact with each other and will let everyone know there are kayakers on the lower section. This will save the fright and possible trauma of meeting a high speed craft, much bigger than you, unawares.</p><p>Camping is great at the MacLeod's put in area. Stay the weekend and mix the kayaking with the superb mountain biking further up the valley.</p><p>To get to the take out: drive up to Deep Creek, (see Shotover Gorge run) continue for about 6.5km to the Skippers Canyon Bridge. Drive down to the river level downstream of the bridge. Park, but leave room for the trucks and buses that turn around at the river.<br />To get to the put in: from the Skippers Bridge area drive nearly 9km of narrow winding road to a short dirt road on the left which leads into an area of willow trees.</p><p>Catchment: 752745<br />Egarr_Comments: {Egarr has 1 entry}popular with less experienced<br />Egarr_Code: 107.03.02<br />Egarr_Vol: SI<br />Egarr_Page: 81<br />Egarr_Rec: 5<br />Egarr_Scen: 6<br />RUS_Code: 2421</p>"
"https://rivers.org.nz/nz/otago/shotover/skippers-bridge-to-deep-creek","Otago","Shotover","Skippers Bridge to Deep Creek","I","1","6.5km","","","Skippers Bridge boat ramp","Deep Creek on the Skippers Canyon Rd","<p>An easy section often used for family float trips, kayak instruction and, unfortunately, jetboats. For safety's sake contact <a href=""http://www.skipperscanyon.co.nz/skippersjet"">Skippers Canyon Jet</a> before getting on the river by phoning 03 442 9434, (this number is also on a sign at the Skippers Saddle where there is good cell coverage) or drop into their base on the way to the river. Skippers Canyon Base is signposted approx. 2km past Deep Creek. They have a blackboard there to leave a message if no one is around.</p>"
"https://rivers.org.nz/nz/tasman/slate/above-snow-to-devils-boots","Tasman","Slate","Above Snow to Devil's Boots","III-IV","3.5","8km","40m/km","6.5 hours","Where ever you want","Devil","<p>The Slate is a tributary of the Aorere. Normal flow is three cumecs so it needs a good rain. 15 - 20 cumecs is optimal but there is no easy way of knowing. But it"
"https://rivers.org.nz/nz/tasman/stanley/lake-stanley-to-forks-hut","Tasman","Stanley","Lake Stanley to Forks Hut","IV-IV+","4.1","4.5km","","2-5 hours","Helicopter to start of gorge below Lake Stanley.","At the Waingaro confluence.","<p>The Stanley is a little done addition to the <a href=""/nz/tasman/waingaro/forks-hut-to-hamama-road"">Waingaro</a> helicopter trip.  When we did it in 2008 the helo pilot reckoned we were only the second group in, but who knows? There needs to be a reasonable amount of water around for the Stanley to be on. It is a very small creek, and as your second day will likely be on the Waingaro you need water to hang around for the second day as well.</p><p>The best and, depending on flows, possibly only place to start is at the end of the braids down from Lake Stanley. You will have seen nothing of the rapids on the way in due to the tight gorge. However almost immediately the whitewater starts and it doesn't stop until at the Waingaro Forks Hut. The run is tight and quite steep boulder gardens. There are only small drops, but the rapids are steep and can be relatively long. It is a fun creek though and requires some technical boating in some parts. Portaging is generally not a problem. There is one very tight little gap that had wood in it when we ran it that did require a gnarly wee portage in steep bush, but the rest is relatively open.</p><p>It would be a very big day to run the Waingaro as well in one day.  A better option is to spend the night at Waingaro Forks and take a wee tramp up-river to do some of the nice looking whitewater above the hut.</p><p>To get to the put-in: fly to where the helicopter can first put down below Lake Stanley.</p><p>To get to the take out: Ultimately the end of the Waingaro run, but a good first stop is the Waingaro Forks hut (4 bunks).</p>"
"https://rivers.org.nz/nz/taranaki/stony/upper-stony","Taranaki","Stony","Upper Stony","IV","4","6km","47m/km","1.5 hours","short walk from the end of Puniho Road","Stony River bridge","<p>The Stony River flows from the foot of Bells Falls in Egmont/Taranaki National Park. It is fed from a large sphagnum moss swamp nestled between the Pouakai range and the main peak of Taranaki and finishes its journey in the Tasman Sea just south of Okato.</p><p>There are three sections the locals use with a few put in options: The lower section is from Wiremu Rd to SH45 and it is class II-III+ without many pools and takes 3.5-4 hours.</p><p>The upper section is shorter but more intense. It needs some good water but is great when it goes. The river flows very fast and eddies are few and very small.</p><p>The upper upper section (Boulder Run) put in is about an hour walk up the Stoney River Track at the first point the track comes back to the river. It's steeper than the lower sections with bouldery class IV and a big drop near the top that needs more water to be run. You want slightly lower flows so either take out at the usual put in for the upper Stoney or carry on down and double your fun quotient.</p><p>There is a gauge on the bridge at Mangatete Rd, if it"
"https://rivers.org.nz/nz/taranaki/stony/wiremu-road-to-sh45","Taranaki","Stony","Wiremu Road to SH45","II-III+","2.6","","","3.5-4 hours","Stony River Bridge","South of Okato on SH45","<p>For now, see <a href=""/nz/taranaki/stony/upper-stony"">nz/taranaki/stony/upper-stony</a></p>"
"https://rivers.org.nz/nz/west-coast/stony/stony","West Coast","Stony","Stony","IV","4","17km","","","Kynnerlsey Creek junction","Perseverance Rd",""
"https://rivers.org.nz/nz/west-coast/styx/tyndall-stream-to-styx-bridge","West Coast","Styx","Tyndall Stream to Styx bridge","IV+","4.25","6.5km","40m/km","1.5 hours","Tyndall Stream (where the track runs into a large slip).","At the cars or continue 300 m to the top Styx bridge.","<p>The Styx has become one of the most run rivers on the coast. It"
"https://rivers.org.nz/nz/west-coast/styx/grassy-flats-hut-to-styx-bridge","West Coast","Styx","Grassy Flats Hut to Styx Bridge","IV+-V","4.6","12.5km","40m/km","3-5hours","Grassy Flats Hut","At the cars or continue 300 m to the top Styx bridge.","<p>The Upper Styx makes for a great day out and can handle quite a lot of water. Recent seasons and increasing fuel costs have seen it become one of the more popular runs because the helicopter shuttle is so short. </p><p>As you float away from Grassy Flats Hut and falsely bid farewell to any trampers (they"
"https://rivers.org.nz/nz/hawkes-bay/taharua/red-hut-to-mohaka-confluence","Hawke's Bay","Taharua","Red Hut to Mohaka confluence","3.4","3.4","2km","30m/km","30 minutes","Red Hut","Hut down stream of Taharua/Mohaka confluence","<p>Good news, the shuttle is realy short and easy but the access is not. You must get access from Porinui Station, as they control the gate the area. Also, a 4WD would be handy; otherwise some walking is in order. Poronui Station PH: +64-7-384-2080.</p><p>First series of rapids including the crux are just below the Red Hut. Scouting on river right is recommended, as boat scouting is difficult. First rapid is an easy slide, which leads into a class IV+ rapid. This is comprised of a slide and a couple of 1-2m drops, that have quite a narrow line. Flat pool for about 200m follows.</p><p>Next rapid is an easy slide, followed up with a sticky drop on river right. Portage/scout on river right. Following this is a shallow boulder garden with some small drops which leads into the confluence to the Mohaka River. After that is a few hundred metres to a class III rapid. Directly after that is the take out at the hut.</p><p>To get the TAKE OUT: Take the Napier Taupo Highway (SH5) east of Taupo for 25km. Take a right onto Taharua Road. Drive down the 20km till you get to an automatic gate, continue driving to till you get to a bridge crossing Taharua River.  Take the left turn just before it. Once you get to the Red Hut, continue down the 4WD track, and make sure to take the turn down the right hand side track to a hut on the Mohaka River. There should be a class III rapid next to the hut.</p><p>To the PUT IN: Put in is at the Red Hut, next to the Taharua River.</p>"
"https://rivers.org.nz/nz/otago/taieri/sutton-to-hindon","Otago","Taieri","Sutton to Hindon","III-IV","3.5","27km","5m/km","","Off Pukerangi Rd at the Sutton Steam confluence","Hinden railway station","<p>The Upper Taieri Gorge is a renowned tourist attraction and is followed for much of its length by the line used by the Taieri Gorge Excursion Train. It flows through classic barren central Otago landscapes between sculptured schist walls. The run is very flow dependant and needs to coincide with annual release of shuttle drivers as the drive is quite long. Despite this the Taieri is a great run and worthy of a trip if the opportunity arises.</p><p>Easy rapids for 6km lead down to the Castle Hill or Pumphouse rapids, class III-IV depending on the flow. More continuous rapids follow, but gradually ease for a few kilometres. A large triangular boulder on river right warns Hole in the Wall is approaching. This straight forward 2m drop is run down the middle, in high water go where ever.</p><p>Boxcar Rapid (you'll see why) lies below the Deep Stream confluence. This class IV rapid is the hardest on the trip. Big waves feed into holes at the top and a diagonal strainer wall at the bottom. After one more rapid the river eases to the take out upstream of the bridge at Hinden.</p><p>At higher flows the Taieri has some excellent play waves and hydraulics. My first ever trip was at 120 cumecs and some of the waves were excellent. The river can easily take double this flow and still be fun.</p><p>To get to the put in: from Dunedin drive via Mosgiel to Outram on SH87 and then on towards Middlemarch. About 50km from Outram and 7km before Middlemarch, turn right onto Pukerangi Rd and drive about 3.5km to the road rail bridge over Sutton Stream. Wander down to the river just upstream of the road/rail bridge down a gully to some willows.</p><p>To get to the take out: Drive back towards Outram and look out for a left turn signposted King George Memorial Drive. Drive along this to another left turn marked Hinden Rd. Drive down to the bridge, cross it and drive a few hundred metres upriver to an obvious parking area by the river.</p>"
"https://rivers.org.nz/nz/otago/taieri/taioma-to-outram","Otago","Taieri","Taioma to Outram","III-III+","3.1","10km","12m/km","2-3 hours","Off Taioma Rd at the Mullocky Stream confluence","Outram Glen","<p>Otago University's answer to stress management. The lower Taieri gorge trip is good whitewater within half an hour of Dunedin.</p><p>My first trip on the lower was just after doing the upper and driving all the shuttle. It was bound to be a long day. The locals were more than a little surprised at how fast we went. Their normal runs on the lower Taieri were for playing and took hours.  We were off the river in an hour fifteen on the dot. It helped that there was a couple hundred cumecs pushing us downstream and a cold Speights was calling.</p><p>The run begins at the Mullocky Stream confluence after an easy 20min walk down a forestry road. Easy water for 1.5km leads to the class III-IV Pipeline Rapid just downstream of the pipeline it takes its name from (original people these kayakers!) At most flows there is enough playing and fun to be had to kill an afternoon of lectures (how time is measured in Dunedin) just in Pipeline. Trinity Rapid is just downstream then another 1.5km to Rock Garden on a right bend beneath a prominent bluff. Bum Rock is a bizarre spot and locals amuse themselves by seeing how many different ways they can paddle through the "
"https://rivers.org.nz/nz/west-coast/taipo/upper-taipo","West Coast","Taipo","Julia Creek Hut to Mid-Taipo Hut","IV+ (V)","4.3","23km","35m/km","5-8 hours","Julia Creek Hut","Taipo bridge on SH73","<p>The Taipo, meaning monster or taniwha, was so-named because it claimed the lives of many Maori who traveled through the area. One story also claims the name was coined because the water was so cold it felt as though a monster had grabbed the loins of those crossing.</p><p>The Taipo is a great adventure river run. It offers stunning scenery and location, excellent whitewater and good length. The lower 3 kilometres through the short, scenic gorge has been used by kayakers and rafters for several years and is a good day out if you are new to the Coast and at a loss for something to do. Kayakers began flying up the valley to Tumbledown Stream in 1993. They returned with stories of amazing water and wild experiences. Bruce Barnes et al went higher to paddle from Julia Hut and produced a mega-classic. Above Julia Hut the river divides and the lack of volume will restrict exploration to times when there is plenty of water in the main river.</p><p>From the first breakout at Julia Hut the action is fast and busy "
"https://rivers.org.nz/nz/west-coast/taipo/lower-taipo","West Coast","Taipo","Mid Taipo Hut to Taipo River Road Bridge","II-III","2.5","13km","13m/km","4-5 hours","Mid Taipo Hut","Taipo River Bridge on SH73","<p>At Mid Taipo Hut the gradient eases markedly into 13 kilometres of class II-III boulder gardens through open valley flats to the last gorge and the road bridge. If flows are very high (>3.4 gauge) this section on its own is a lot of fun and gets into class IV at flows around 4 on the gauge.</p><p>To get to the take out: find the Taipo River Bridge on SH73. Drive east from the bridge for 1 kilometre and look for a road on the right marked Taipo Valley Access. This rough, steep road climbs over the first gorge. Unless you have four wheel drive, park at the top of the hill and walk down to the river.</p>"
"https://rivers.org.nz/nz/tasman/takaka/takaka-power-station-to-takaka-river-bridge","Tasman","T","Takaka Power Station to Takaka River Bridge","III (IV)","3.2","9km","20m/km","3 hours","Takaka Power Station","Takaka River bridge","<p>The Takaka is one of the most popular Golden Bay runs. It has an intermediate lower run with road access and good play spots. The first few kilometres have the biggest rapids and some good playholes and eddy lines. Boat caddies can drive along the river and deliver the appropriate boat for the ultimate ride. After Sam"
"https://rivers.org.nz/nz/tasman/takaka/asbestos-hut-track-to-cobb-dam","Tasman","T","Asbestos Hut track to Cobb Dam","IV-V","4.5","5km","40m/km","2-4 hours","300m after big slip on Asbestos Hut track","Cobb Dam","<p>The Takaka River has its headwaters on the table lands north of Mt Arthur. It has been paddled from the Grid Iron Shelter but there is an unrunnable section above the Asbestos Mine.Once on the river, or creek depending on your definition, get your brain into tight and rocky mode. About an hour of boat scoutable rock gardens leads into the first of the "
"https://rivers.org.nz/nz/tasman/takaka/junction-wave","Tasman","Takaka","Junction Wave","II","2","","","","","","<p>A wee wave in the heart of town.  Who would have thought you can surf only half a km from the Wholemeal?</p><p>From the main street of Takaka, turn into the Junction Hotel carpark, thread your way through the slalom course , turn left at the end and drive on past the fishing access sign.  The car park is another hundred metres odd, so close you can be seen changing from the supermarket.</p><p>Best at 30 cumecs but there is something there between about 20 and 40.  This is a fun way to cool down on a hot day, or provides locals with a bit of park and play before or after work.</p>"
"https://rivers.org.nz/nz/bay-of-plenty/takaputahi/rawea-to-motu","Bay of Plenty","Takaputahi","Rawea to Motu","IV","4","","","","Rawea Stream","Motu River","<p>See Taking on the Takaputahi, NZC 98.3. Mandatory portage below Boulder Mile.</p><p>Egarr (1989, p139) suggests put-in from end of Takaputahi Road, near Toatoa.</p><p>""From the put-in the river flows clear and peaceful for some distance, with mossy banks in a scenic gorge. Some log-jams may present problems, as will the occasional rocky drop.</p><p>Some distance downstream the gorge suddenly narrows into a canyon with numerous log-jams and steep bouldery chutes, often with long, deep pools between. Some four hours downstream from the put-in you will reach Boulder Mile, where a jumble of boulders in the river from slip debris will make for very slow going. Numerous rock sieves and logs will oblige you to inspect each run as you proceed downstream. Once clear of Boulder Mile, which takes about two hours to negotiate, you will have another 30 minutes to the Motu confluence."""
"https://rivers.org.nz/jacksons_to_kumara","West Coast","Taramakau","Jacksons to Kumara","II","2","","","","","","<p>Watch out for railway iron and wire ropes used to stabilise the left bank. Logs have been a fatal hazard on this river (<a href=""/safety/db/incident/19951021"">incident 19951021</a>).<br />Put-in below Stanley Gooseman Bridge at Jacksons. Take-out at Kumara.</p>"
